user_id,items_count
76561197970982479,277
js41637,888
evcentric,137
Riot-Punch,328
doctr,541
MinxIsBetterThanPotatoes,371
NitemarePK,304
themanwich,258
maplemage,629
Wackky,0
corrupted_soul,115
76561198079601835,0
jorellpogi,71
cadmusthreepointoh,253
76561198064823719,55
MeaTCompany,14
76561198089393905,103
76561198156664158,59
76561198077246154,174
76561198070234207,33
WeiEDKrSat,28
thequeenpanda,524
death-hunter,121
turneddreamsintoanempire,96
DJKamBer,152
76561198030389591,12
Rainbow-Dashie,59
btuty8trgt,99
76561198043472122,88
MarbleShrine,185
fdcfelipefdc,43
hellom8o,0
bbaekhyun,77
Moomfina,50
PPanther,62
ABSOLUTLY_NOTHING,196
devvonst,68
Fr0stedLine,50
starkillershadow553,0
76561198058373434,49
76561198048353577,95
76561198072190369,32
76561198066046412,48
tru_mu_,62
wirlom,50
76561198070565427,75
SavageEeEe,32
76561198076909484,11
76561198066908262,10
KanadeTheNeko,73
Leaf_Light_Moscow,5
erickoiv,6
GoAwayZach,59
76561198054540475,106
darkenkane,0
76561198100701221,96
76561198085547365,65
76561198061252210,25
OfficialShroomsy,51
76561198056147391,7
8Bit-Ninja,81
76561198071500702,13
76561198099905030,78
76561198047407223,56
latiano,72
kongtape,73
boydeer,149
76561198100297613,74
VVillis,168
Bubblecup,0
76561198083226897,6
76561198082525427,0
76561198075277292,14
76561198094630961,20
12549,64
76561198028895010,190
76561198092411867,20
76561198170198366,27
diego9031,200
iampiepiepie,41
76561198079863506,26
jarrodtrim,161
76561198078738103,33
76561198068964564,12
76561198067936203,46
76561198079770573,30
UpTheAss,10
76561198048504366,0
76561197977385164,12
76561198075491015,34
76561198087586464,31
76561198086878953,185
Derp-e,18
76561198070194565,214
Rivtex,51
firefreddy,25
UTNerd24,188
sandwiches1,172
76561198093083895,15
76561198138053270,64
76561198062422084,83
steamurl,0
lucaswerg,0
Life-Of-Blu,64
CaptianAutismo,62
maxgp,77
AppaTheSwagBison,77
knightboy991,67
76561198034678103,49
76561198075895633,38
TheDropix101,16
kube134,476
iamthekingofbrowntown,124
MainScout,36
gdxsd,79
yookobz,174
Posiblydead,255
Mossy_Gaming,21
76561198093817084,65
76561198102421718,88
76561198079045885,36
76561198087407319,66
76561198074466513,31
damo131,20
19702316748,94
FrystHjarte,39
76561198056741844,257
sad-commie,306
Sillybaby,0
76561198030567998,75
76561198010674657,0
Coldaniel,133
therealmorty,174
itslonk,133
DeDroidUreLookin4,52
Berserklejerker,123
76561198088799241,76
76561198061730629,87
YoHuNz,153
possessioniskey,23
76561198072732874,49
76561198093112529,30
sevqu,28
76561198060447950,55
whiteofwolfing,21
76561198056857968,64
sergarino,80
PyroCreed,55
76561198052897627,20
76561198081962345,95
76561198039266268,13
76561198094224872,25
76561198073210139,39
Nozomikat,108
76561198076933844,33
76561198072186059,57
xfluttersx,344
76561198068621601,8
76561198056290589,41
thompyawesomeness,0
ii_voltage_ii,456
76561198097762318,22
Hirukaz,81
StelerForYou,68
76561198183396245,24
otteloo,115
shinra420,42
Xx-Woods,173
kevinator23,71
tonyballoney,38
76561198090715178,82
CatsWhale,0
Child_Vs_Puddle,28
76561198073784601,69
mimimomoma,191
76561198102410011,22
de_Butl3r,17
76561198157999555,3
76561198027947401,27
Bluezap1,50
76561198074200011,4
jonasdbomb,461
L1J1N,34
Lord_Exploit,48
76561198079106676,83
76561198092244787,33
Sanctus94,75
76561197990792016,113
76561198068415226,0
AVATAR715,186
76561198073987767,24
Fluxxyz,8
76561198092150873,75
YieuwMage,70
76561198078752187,0
Nfkted_CS,17
A-Very-Sly-Person,45
76561198211054671,0
76561197994493402,151
Koolcaz12,0
76561198065656175,110
76561198188979775,8
97396295,22
M1ss_P1nk,0
xoFushiox,49
76561198126640317,27
DemonicWolvz,106
DieMadchenschanderin,200
76561198052784112,0
76561198072706529,59
76561198215949741,2
GGargula,185
Myther43,213
getf0kinn0sc0pedm9,78
76561198141443390,107
76561198031924053,4
76561198097333029,23
dominiclim99,16
whodafuqisthisguilao,41
76561198072205329,21
Icamebackbitches,76
Magjiikal,162
ohnospaghet,176
76561198060062487,5
76561198050347115,95
2768820078,91
76561198049968536,53
76561198056392326,141
2d4nk4m3,160
76561198074003102,9
76561198078478151,23
exiaez,37
BURNINGchicken3,307
76561198066835162,112
76561198069593452,34
undietaker,92
76561198095921854,82
EizanAratoFujimaki,391
POOTISSPENSOR,26
angorabug,49
TeCool,56
ZyhgarThestarweaver,179
2xDelorean,55
washington_,112
jewxxl,0
76561198088944293,131
76561198092540221,0
