user_id,item_id,recommend,row_index,sentiment_analysis
76561197970982479,1250,True,0,1
76561197970982479,22200,True,0,2
76561197970982479,43110,True,0,1
js41637,251610,True,1,1
js41637,227300,True,1,1
js41637,239030,True,1,1
evcentric,248820,True,2,2
evcentric,370360,True,2,2
evcentric,237930,True,2,2
evcentric,263360,True,2,0
evcentric,107200,True,2,1
evcentric,224500,True,2,1
doctr,250320,True,3,2
doctr,20920,True,3,2
doctr,204100,True,3,2
doctr,224600,True,3,1
doctr,207610,True,3,0
doctr,108710,True,3,2
maplemage,211420,True,4,1
maplemage,211820,True,4,1
maplemage,730,True,4,2
maplemage,204300,True,4,2
Wackky,249130,True,5,0
Wackky,207610,True,5,1
Wackky,550,True,5,1
Wackky,65800,True,5,0
Wackky,220,True,5,2
76561198079601835,730,True,6,1
MeaTCompany,730,True,7,1
76561198089393905,72850,True,8,0
76561198089393905,440,True,8,1
76561198156664158,252950,True,9,2
76561198077246154,440,True,10,1
76561198077246154,304930,True,10,1
WeiEDKrSat,4000,True,11,1
thequeenpanda,42910,True,12,1
death-hunter,232090,True,13,1
death-hunter,1250,True,13,2
death-hunter,4000,True,13,2
DJKamBer,304930,True,14,1
DJKamBer,570,True,14,2
DJKamBer,218620,True,14,1
DJKamBer,224260,True,14,1
DJKamBer,1250,True,14,1
DJKamBer,440,True,14,1
Rainbow-Dashie,730,True,15,2
Rainbow-Dashie,440,True,15,1
Rainbow-Dashie,49520,True,15,0
76561198043472122,33440,False,16,0
MarbleShrine,220200,True,17,1
PPanther,211820,True,18,1
devvonst,440,True,19,2
devvonst,218740,True,19,1
devvonst,550,True,19,2
Fr0stedLine,220,True,20,2
starkillershadow553,238090,True,21,1
starkillershadow553,242130,True,21,1
starkillershadow553,277430,True,21,1
76561198058373434,8870,True,22,1
76561198048353577,368230,True,23,0
76561198048353577,4000,True,23,2
76561198048353577,33930,True,23,1
76561198066046412,359320,False,24,0
76561198066046412,219640,True,24,2
tru_mu_,287980,True,25,1
76561198070565427,218620,True,26,1
76561198070565427,208090,True,26,1
76561198070565427,242700,True,26,1
76561198070565427,570,False,26,1
76561198070565427,224260,True,26,1
SavageEeEe,221100,True,27,2
76561198076909484,570,True,28,0
KanadeTheNeko,331470,True,29,2
KanadeTheNeko,4000,True,29,1
Leaf_Light_Moscow,323370,True,30,2
GoAwayZach,304930,True,31,2
76561198054540475,12210,True,32,1
76561198054540475,265210,True,32,1
76561198054540475,48700,True,32,1
76561198085547365,238460,True,33,2
76561198085547365,34900,True,33,2
76561198061252210,730,True,34,1
OfficialShroomsy,113200,True,35,1
boydeer,440,True,36,1
boydeer,383080,False,36,1
VVillis,213670,True,37,1
76561198083226897,105600,True,38,1
76561198075277292,730,True,39,1
76561198075277292,570,True,39,1
76561198028895010,231180,True,40,2
76561198028895010,620,True,40,2
76561198170198366,271290,True,41,2
diego9031,4000,True,42,1
diego9031,317360,True,42,1
diego9031,223710,True,42,1
diego9031,299360,True,42,1
diego9031,322330,True,42,1
diego9031,1250,True,42,1
diego9031,12100,True,42,1
diego9031,204360,True,42,2
diego9031,440,True,42,0
diego9031,224260,True,42,1
jarrodtrim,440,True,43,2
76561198078738103,304930,True,44,1
76561198067936203,440,True,45,1
76561198079770573,1840,True,46,1
76561198087586464,440,True,47,2
Derp-e,440,True,48,1
76561198070194565,233250,True,49,1
76561198070194565,449140,True,49,1
76561198070194565,368730,True,49,1
76561198070194565,246280,True,49,1
76561198070194565,427270,True,49,2
76561198070194565,397100,True,49,1
76561198070194565,248570,True,49,1
Rivtex,298630,True,50,1
UTNerd24,244210,True,51,1
UTNerd24,440,True,51,1
UTNerd24,376920,True,51,1
UTNerd24,257750,True,51,1
UTNerd24,221910,True,51,0
UTNerd24,2280,True,51,2
sandwiches1,417860,False,52,1
76561198138053270,218620,True,53,1
lucaswerg,218620,True,54,1
lucaswerg,222880,True,54,1
Life-Of-Blu,377160,True,55,2
Life-Of-Blu,211820,True,55,1
CaptianAutismo,252490,True,56,2
76561198075895633,440,True,57,1
TheDropix101,242920,True,58,1
kube134,251990,True,59,2
iamthekingofbrowntown,344760,False,60,0
iamthekingofbrowntown,252950,True,60,1
iamthekingofbrowntown,236430,True,60,1
iamthekingofbrowntown,399730,True,60,1
MainScout,550,True,61,1
yookobz,377160,True,63,2
yookobz,219150,True,63,2
Posiblydead,277430,True,64,1
Posiblydead,239820,True,64,2
Posiblydead,17410,True,64,2
Mossy_Gaming,440,True,65,2
76561198102421718,270550,True,66,1
76561198102421718,274940,True,66,1
76561198102421718,333930,True,66,1
76561198087407319,440,True,67,0
76561198056741844,730,True,68,1
sad-commie,294100,True,69,1
sad-commie,212070,True,69,2
sad-commie,264140,True,69,1
76561198030567998,332800,True,70,1
76561198030567998,319630,True,70,1
76561198030567998,6020,True,70,1
76561198030567998,55230,True,70,1
76561198030567998,32430,True,70,1
76561198010674657,377160,False,71,1
76561198010674657,440,True,71,1
Coldaniel,35450,True,72,2
Coldaniel,440,True,72,1
Coldaniel,236390,True,72,2
therealmorty,351570,True,73,1
therealmorty,212680,True,73,0
Berserklejerker,391540,True,74,1
76561198061730629,550,True,75,1
YoHuNz,440,True,76,1
YoHuNz,570,True,76,1
possessioniskey,72850,True,77,2
possessioniskey,440,True,77,1
possessioniskey,113400,True,77,1
76561198093112529,440,True,78,1
76561198060447950,200510,True,79,1
whiteofwolfing,730,True,80,1
sergarino,383080,True,81,1
76561198081962345,200210,True,82,2
76561198081962345,1250,True,82,1
76561198073210139,304050,True,84,0
Nozomikat,265610,True,85,1
Nozomikat,264200,True,85,1
Nozomikat,417860,True,85,1
Nozomikat,333600,True,85,2
Nozomikat,213670,True,85,1
Nozomikat,91310,True,85,1
